,location,total_sqft,bath,bhk
64,6th Phase JP Nagar,2003.0,3.0,3.0
65,6th Phase JP Nagar,1180.0,2.0,2.0
66,6th Phase JP Nagar,1192.0,2.0,2.0
67,6th Phase JP Nagar,1140.0,2.0,2.0
68,6th Phase JP Nagar,1810.0,3.0,3.0
69,6th Phase JP Nagar,2040.0,3.0,3.0
70,6th Phase JP Nagar,1515.0,2.0,3.0
71,6th Phase JP Nagar,1280.0,2.0,2.0
72,6th Phase JP Nagar,1216.0,2.0,2.0
73,6th Phase JP Nagar,1350.0,2.0,3.0
74,7th Phase JP Nagar,1343.0,2.0,3.0
75,7th Phase JP Nagar,1120.0,2.0,2.0
76,7th Phase JP Nagar,1130.0,2.0,2.0
77,7th Phase JP Nagar,1190.0,2.0,2.0
78,7th Phase JP Nagar,1850.0,3.0,3.0
79,7th Phase JP Nagar,1035.0,2.0,2.0
80,7th Phase JP Nagar,1850.0,3.0,3.0
81,7th Phase JP Nagar,2100.0,3.0,3.0
82,7th Phase JP Nagar,1415.0,3.0,3.0
83,7th Phase JP Nagar,1270.0,2.0,2.0
84,7th Phase JP Nagar,1680.0,3.0,3.0
85,7th Phase JP Nagar,1370.0,2.0,2.0
86,7th Phase JP Nagar,1650.0,3.0,3.0
87,7th Phase JP Nagar,1450.0,2.0,3.0
88,7th Phase JP Nagar,1245.0,2.0,2.0
89,7th Phase JP Nagar,1050.0,2.0,2.0
90,7th Phase JP Nagar,2000.0,3.0,3.0
91,7th Phase JP Nagar,1187.0,2.0,2.0
92,7th Phase JP Nagar,1680.0,3.0,3.0
93,7th Phase JP Nagar,1790.0,3.0,3.0
94,7th Phase JP Nagar,1400.0,2.0,3.0
95,7th Phase JP Nagar,1180.0,2.0,2.0
96,7th Phase JP Nagar,1128.0,2.0,2.0
97,7th Phase JP Nagar,2503.0,4.0,4.0
98,7th Phase JP Nagar,1450.0,3.0,3.0
99,7th Phase JP Nagar,1100.0,2.0,2.0
100,7th Phase JP Nagar,1575.0,2.0,3.0
101,7th Phase JP Nagar,1430.0,2.0,3.0
102,7th Phase JP Nagar,1385.0,2.0,3.0
103,7th Phase JP Nagar,1050.0,2.0,2.0
104,7th Phase JP Nagar,1370.0,2.0,3.0
105,7th Phase JP Nagar,1500.0,3.0,3.0
106,7th Phase JP Nagar,1035.0,2.0,2.0
107,7th Phase JP Nagar,1680.0,2.0,3.0
108,7th Phase JP Nagar,1250.0,3.0,3.0
109,7th Phase JP Nagar,1215.0,2.0,2.0
110,7th Phase JP Nagar,1000.0,2.0,2.0
111,7th Phase JP Nagar,1275.0,2.0,3.0
112,7th Phase JP Nagar,1370.0,2.0,3.0
113,7th Phase JP Nagar,1080.0,2.0,2.0
114,7th Phase JP Nagar,1460.0,3.0,3.0
115,7th Phase JP Nagar,1075.0,2.0,2.0
116,7th Phase JP Nagar,980.0,2.0,2.0
117,7th Phase JP Nagar,1460.0,2.0,3.0
118,7th Phase JP Nagar,990.0,2.0,2.0
119,7th Phase JP Nagar,1680.0,3.0,3.0
120,7th Phase JP Nagar,1675.0,2.0,3.0
121,7th Phase JP Nagar,2200.0,4.0,3.0
122,7th Phase JP Nagar,1680.0,3.0,3.0
123,7th Phase JP Nagar,1040.0,2.0,2.0
124,7th Phase JP Nagar,1000.0,1.0,1.0
125,7th Phase JP Nagar,980.0,2.0,2.0
126,7th Phase JP Nagar,1420.0,2.0,3.0
127,7th Phase JP Nagar,1040.0,2.0,2.0
128,7th Phase JP Nagar,1575.0,2.0,3.0
129,7th Phase JP Nagar,1050.0,2.0,2.0
130,7th Phase JP Nagar,1400.0,2.0,3.0
131,7th Phase JP Nagar,1350.0,3.0,3.0
132,7th Phase JP Nagar,1850.0,3.0,3.0
133,7th Phase JP Nagar,2225.0,3.0,3.0
134,7th Phase JP Nagar,3300.0,4.0,4.0
135,7th Phase JP Nagar,1050.0,2.0,2.0
136,7th Phase JP Nagar,1650.0,3.0,3.0
137,7th Phase JP Nagar,1420.0,3.0,3.0
138,7th Phase JP Nagar,1420.0,2.0,3.0
139,7th Phase JP Nagar,1460.0,2.0,3.0
140,7th Phase JP Nagar,1175.0,2.0,2.0
141,7th Phase JP Nagar,1300.0,2.0,3.0
142,7th Phase JP Nagar,1175.0,2.0,2.0
143,7th Phase JP Nagar,1400.0,2.0,3.0
144,7th Phase JP Nagar,1000.0,2.0,2.0
145,7th Phase JP Nagar,1575.0,2.0,3.0
146,7th Phase JP Nagar,1000.0,2.0,2.0
147,7th Phase JP Nagar,1070.0,2.0,2.0
148,7th Phase JP Nagar,1680.0,3.0,3.0
149,7th Phase JP Nagar,1275.0,2.0,2.0
150,7th Phase JP Nagar,1050.0,2.0,2.0
151,7th Phase JP Nagar,3600.0,4.0,4.0
152,7th Phase JP Nagar,1680.0,3.0,3.0
153,7th Phase JP Nagar,1300.0,3.0,3.0
154,7th Phase JP Nagar,1070.0,2.0,2.0
155,7th Phase JP Nagar,1300.0,2.0,3.0
156,7th Phase JP Nagar,1680.0,3.0,3.0
157,7th Phase JP Nagar,1040.0,2.0,2.0
158,7th Phase JP Nagar,1035.0,2.0,2.0
159,7th Phase JP Nagar,1000.0,2.0,2.0
160,7th Phase JP Nagar,1080.0,2.0,2.0
161,7th Phase JP Nagar,1050.0,2.0,3.0
162,7th Phase JP Nagar,1450.0,2.0,3.0
163,7th Phase JP Nagar,1270.0,2.0,2.0
164,7th Phase JP Nagar,2100.0,3.0,3.0
165,7th Phase JP Nagar,2100.0,3.0,3.0
166,7th Phase JP Nagar,2980.0,4.0,3.0
167,7th Phase JP Nagar,4800.0,7.0,7.0
168,7th Phase JP Nagar,1050.0,2.0,2.0
169,7th Phase JP Nagar,1236.0,2.0,2.0
170,7th Phase JP Nagar,1100.0,2.0,2.0
171,7th Phase JP Nagar,918.0,2.0,2.0
172,7th Phase JP Nagar,1000.0,2.0,2.0
173,7th Phase JP Nagar,1035.0,2.0,2.0
174,7th Phase JP Nagar,1680.0,3.0,3.0
175,7th Phase JP Nagar,1050.0,2.0,2.0
176,7th Phase JP Nagar,980.0,2.0,2.0
177,7th Phase JP Nagar,1680.0,3.0,3.0
178,8th Phase JP Nagar,1513.0,2.0,2.0
179,8th Phase JP Nagar,500.0,1.0,1.0
180,8th Phase JP Nagar,1504.0,2.0,3.0
181,8th Phase JP Nagar,2700.0,4.0,4.0
182,8th Phase JP Nagar,1298.0,2.0,2.0
183,8th Phase JP Nagar,909.0,2.0,2.0
184,8th Phase JP Nagar,1100.0,2.0,2.0
185,8th Phase JP Nagar,1500.0,2.0,3.0
186,8th Phase JP Nagar,1800.0,3.0,3.0
187,8th Phase JP Nagar,1062.0,2.0,2.0
188,8th Phase JP Nagar,1275.0,2.0,3.0
189,8th Phase JP Nagar,1431.5,3.0,3.0
190,8th Phase JP Nagar,1089.0,2.0,2.0
191,8th Phase JP Nagar,1059.0,2.0,2.0
192,8th Phase JP Nagar,3300.0,3.0,3.0
193,8th Phase JP Nagar,1230.0,2.0,3.0
194,8th Phase JP Nagar,1275.0,3.0,3.0
195,8th Phase JP Nagar,1245.0,2.0,2.0
196,8th Phase JP Nagar,1100.0,2.0,2.0
197,8th Phase JP Nagar,500.0,1.0,1.0
198,8th Phase JP Nagar,1125.0,2.0,2.0
199,8th Phase JP Nagar,1408.0,3.0,3.0
200,8th Phase JP Nagar,1046.0,2.0,2.0
201,8th Phase JP Nagar,1200.0,3.0,4.0
202,8th Phase JP Nagar,1510.0,2.0,2.0
203,8th Phase JP Nagar,1080.0,2.0,2.0
204,8th Phase JP Nagar,871.0,2.0,2.0
205,8th Phase JP Nagar,1269.0,2.0,3.0
206,8th Phase JP Nagar,1900.0,4.0,3.0
207,8th Phase JP Nagar,1080.0,2.0,2.0
208,8th Phase JP Nagar,1605.0,2.0,3.0
209,8th Phase JP Nagar,1035.0,2.0,2.0
210,8th Phase JP Nagar,1073.5,2.0,2.0
211,8th Phase JP Nagar,1296.0,2.0,3.0
212,8th Phase JP Nagar,500.0,1.0,1.0
213,9th Phase JP Nagar,660.0,2.0,2.0
214,9th Phase JP Nagar,3500.0,4.0,4.0
215,9th Phase JP Nagar,890.0,2.0,2.0
216,9th Phase JP Nagar,5000.0,4.0,4.0
217,9th Phase JP Nagar,1079.0,2.0,2.0
218,9th Phase JP Nagar,905.0,2.0,2.0
219,9th Phase JP Nagar,1127.0,2.0,2.0
220,9th Phase JP Nagar,1005.0,2.0,2.0
221,9th Phase JP Nagar,1080.0,2.0,2.0
222,9th Phase JP Nagar,1100.0,2.0,2.0
223,9th Phase JP Nagar,1480.0,2.0,2.0
224,9th Phase JP Nagar,1050.0,2.0,2.0
225,9th Phase JP Nagar,1240.0,2.0,3.0
226,9th Phase JP Nagar,1240.0,2.0,3.0
227,9th Phase JP Nagar,1466.0,2.0,2.0
228,9th Phase JP Nagar,1900.0,4.0,4.0
229,9th Phase JP Nagar,1890.0,2.0,3.0
230,9th Phase JP Nagar,1331.95,2.0,2.0
231,9th Phase JP Nagar,1005.0,2.0,2.0
232,9th Phase JP Nagar,1571.0,3.0,3.0
233,Abbigere,985.0,2.0,2.0
234,Abbigere,1130.0,2.0,2.0
235,Abbigere,880.0,2.0,2.0
236,Abbigere,1020.0,2.0,2.0
237,Abbigere,3000.0,8.0,8.0
238,Abbigere,1260.0,2.0,3.0
239,Abbigere,995.0,2.0,2.0
240,Abbigere,2500.0,6.0,6.0
241,Abbigere,734.0,1.0,1.0
242,Abbigere,2200.0,6.0,6.0
243,Abbigere,1020.0,2.0,2.0
244,Abbigere,1000.0,2.0,2.0
245,Abbigere,1326.0,2.0,3.0
246,Abbigere,1326.0,2.0,3.0
247,Abbigere,795.0,1.0,2.0
248,Akshaya Nagar,1476.0,3.0,3.0
249,Akshaya Nagar,2061.0,4.0,3.0
250,Akshaya Nagar,1200.0,2.0,2.0
251,Akshaya Nagar,1435.0,3.0,3.0
252,Akshaya Nagar,1720.0,3.0,3.0
253,Akshaya Nagar,1662.0,3.0,3.0
254,Akshaya Nagar,1690.0,3.0,3.0
255,Akshaya Nagar,1179.0,2.0,2.0
256,Akshaya Nagar,2061.0,3.0,3.0
257,Akshaya Nagar,1430.0,2.0,3.0
258,Akshaya Nagar,1200.0,2.0,2.0
259,Akshaya Nagar,1113.0,2.0,2.0
260,Akshaya Nagar,1300.0,2.0,2.0
261,Akshaya Nagar,1600.0,2.0,3.0
262,Akshaya Nagar,2000.0,1.0,1.0
263,Akshaya Nagar,1092.0,2.0,2.0
264,Akshaya Nagar,1893.0,4.0,3.0
265,Akshaya Nagar,1100.0,2.0,2.0
266,Akshaya Nagar,1265.0,2.0,2.0
267,Akshaya Nagar,2300.0,4.0,3.0
268,Akshaya Nagar,1884.0,3.0,3.0
269,Akshaya Nagar,1300.0,2.0,2.0
270,Akshaya Nagar,1662.0,3.0,3.0
271,Akshaya Nagar,1410.0,2.0,3.0
272,Akshaya Nagar,2061.0,3.0,3.0
273,Akshaya Nagar,1280.0,2.0,2.0
274,Akshaya Nagar,1314.0,2.0,2.0
275,Akshaya Nagar,1070.0,2.0,2.0
276,Akshaya Nagar,1225.0,2.0,2.0
277,Akshaya Nagar,1575.0,3.0,3.0
278,Akshaya Nagar,1434.0,3.0,3.0
279,Akshaya Nagar,1280.0,2.0,2.0
280,Akshaya Nagar,1200.0,4.0,4.0
281,Akshaya Nagar,1410.0,2.0,3.0
282,Akshaya Nagar,1280.0,2.0,2.0
283,Akshaya Nagar,1690.0,3.0,3.0
284,Akshaya Nagar,1250.0,3.0,3.0
285,Akshaya Nagar,1897.0,4.0,3.0
286,Akshaya Nagar,1662.0,3.0,3.0
287,Akshaya Nagar,1666.0,3.0,3.0
288,Akshaya Nagar,1412.0,2.0,3.0
289,Akshaya Nagar,1421.0,2.0,3.0
290,Akshaya Nagar,1890.0,4.0,3.0
291,Ambalipura,1390.0,2.0,3.0
292,Ambalipura,1060.0,2.0,2.0
293,Ambalipura,1607.0,2.0,3.0
294,Ambalipura,1625.0,2.0,3.0
295,Ambalipura,1730.0,3.0,3.0
296,Ambalipura,1150.0,2.0,2.0
297,Ambalipura,1332.0,2.0,2.0
298,Ambalipura,950.0,2.0,2.0
299,Ambalipura,1615.0,2.0,3.0
300,Ambalipura,1303.0,2.0,2.0
301,Ambalipura,1700.0,2.0,2.0
302,Ambalipura,1250.0,2.0,2.0
303,Ambalipura,1800.0,3.0,3.0
304,Ambalipura,3300.0,4.0,4.0
305,Ambalipura,770.0,1.0,1.0
306,Ambalipura,1817.0,3.0,3.0
307,Ambalipura,1198.0,2.0,2.0
308,Ambalipura,1351.0,2.0,2.0
309,Ambalipura,896.0,2.0,2.0
310,Ambalipura,2550.0,4.0,4.0
311,Ambedkar Nagar,1935.0,4.0,3.0
312,Ambedkar Nagar,1367.0,2.0,2.0
313,Ambedkar Nagar,3565.0,4.0,4.0
314,Ambedkar Nagar,1850.0,4.0,3.0
315,Ambedkar Nagar,1950.0,4.0,3.0
316,Ambedkar Nagar,2225.0,4.0,3.0
317,Ambedkar Nagar,5530.0,5.0,5.0
318,Ambedkar Nagar,5000.0,4.0,4.0
319,Ambedkar Nagar,1852.0,4.0,3.0
320,Ambedkar Nagar,1920.0,4.0,3.0
321,Ambedkar Nagar,1852.0,3.0,3.0
322,Ambedkar Nagar,1424.0,2.0,2.0
323,Ambedkar Nagar,1856.0,3.0,3.0
324,Ambedkar Nagar,1950.0,4.0,3.0
325,Ambedkar Nagar,2900.0,3.0,4.0
326,Ambedkar Nagar,1935.0,4.0,3.0
327,Ambedkar Nagar,1862.0,3.0,3.0
328,Ambedkar Nagar,1424.0,2.0,2.0
329,Ambedkar Nagar,1936.0,4.0,3.0
330,Ambedkar Nagar,2150.0,4.0,3.0
331,Ambedkar Nagar,1409.0,2.0,2.0
332,Ambedkar Nagar,1850.0,4.0,3.0
333,Ambedkar Nagar,3530.0,4.0,4.0
334,Ambedkar Nagar,1862.0,3.0,3.0
335,Amruthahalli,924.0,2.0,2.0
336,Amruthahalli,1450.0,2.0,3.0
337,Amruthahalli,900.0,2.0,2.0
338,Amruthahalli,1700.0,3.0,3.0
339,Amruthahalli,1200.0,2.0,2.0
340,Amruthahalli,1350.0,2.0,3.0
341,Amruthahalli,900.0,2.0,2.0
342,Amruthahalli,1900.0,3.0,3.0
343,Amruthahalli,485.0,1.0,1.0
344,Amruthahalli,1200.0,2.0,2.0
345,Amruthahalli,600.0,1.0,1.0
346,Amruthahalli,1100.0,2.0,2.0
347,Amruthahalli,1200.0,2.0,2.0
348,Amruthahalli,1605.0,3.0,3.0
349,Amruthahalli,1190.0,2.0,2.0
350,Amruthahalli,1250.0,2.0,2.0
351,Amruthahalli,2650.0,4.0,3.0
352,Amruthahalli,4400.0,3.0,2.0
353,Anandapura,1250.0,2.0,2.0
354,Anandapura,1576.0,3.0,3.0
355,Anandapura,1749.0,4.0,4.0
356,Anandapura,1151.0,2.0,2.0
357,Anandapura,616.0,3.0,2.0
358,Anandapura,1151.0,2.0,2.0
359,Anandapura,1200.0,2.0,2.0
360,Anandapura,1167.0,2.0,2.0
361,Anandapura,1141.0,2.0,2.0
362,Anandapura,875.0,2.0,2.0
363,Anandapura,1475.0,2.0,4.0
364,Anandapura,1141.0,2.0,2.0
365,Anandapura,1200.0,2.0,2.0
366,Anandapura,1141.0,2.0,2.0
367,Anandapura,1200.0,2.0,2.0
368,Anandapura,1576.0,3.0,3.0
369,Anandapura,1415.0,2.0,3.0
370,Anandapura,1151.0,2.0,2.0
371,Anandapura,1000.0,2.0,2.0
372,Anandapura,900.0,2.0,2.0
373,Ananth Nagar,850.0,2.0,2.0
374,Ananth Nagar,1200.0,2.0,2.0
375,Ananth Nagar,810.0,2.0,2.0
376,Ananth Nagar,1100.0,2.0,2.0
377,Ananth Nagar,1074.0,2.0,2.0
378,Ananth Nagar,1000.0,2.0,2.0
379,Ananth Nagar,908.0,2.0,2.0
380,Ananth Nagar,500.0,1.0,1.0
381,Ananth Nagar,992.0,2.0,2.0
382,Ananth Nagar,1000.0,2.0,2.0
383,Ananth Nagar,937.0,2.0,2.0
384,Ananth Nagar,500.0,2.0,1.0
385,Ananth Nagar,1010.0,2.0,2.0
386,Ananth Nagar,1319.0,3.0,3.0
387,Ananth Nagar,500.0,1.0,1.0
388,Ananth Nagar,1109.0,2.0,2.0
389,Ananth Nagar,500.0,1.0,1.0
390,Anekal,656.0,2.0,2.0
391,Anekal,888.0,2.0,2.0
392,Anekal,1200.0,2.0,4.0
393,Anekal,1200.0,1.0,2.0
394,Anekal,1200.0,2.0,2.0
395,Anekal,600.0,1.0,1.0
396,Anekal,620.0,2.0,2.0
397,Anekal,1200.0,1.0,2.0
398,Anekal,1200.0,1.0,2.0
399,Anekal,967.0,2.0,3.0
400,Anekal,1500.0,4.0,3.0
401,Anekal,614.0,1.0,2.0
402,Anekal,351.0,1.0,1.0
403,Anekal,1200.0,1.0,2.0
404,Anekal,1140.0,2.0,2.0
405,Anekal,620.0,1.0,2.0
406,Anekal,456.0,1.0,1.0
407,Anekal,1733.5,3.0,3.0
408,Anekal,420.0,1.0,1.0
409,Anekal,1150.0,3.0,3.0
410,Anekal,1200.0,2.0,2.0
411,Anekal,1200.0,2.0,2.0
412,Anekal,925.0,2.0,2.0
413,Anekal,1200.0,1.0,2.0
414,Anekal,700.0,1.0,2.0
415,Anekal,766.0,2.0,2.0
416,Anekal,1200.0,1.0,2.0
417,Anekal,997.0,3.0,3.0
418,Ardendale,2800.0,4.0,4.0
419,Ardendale,1732.46,3.0,3.0
420,Ardendale,2062.0,3.0,4.0
421,Ardendale,1650.0,3.0,3.0
422,Ardendale,3198.0,4.0,4.0
423,Ardendale,1723.0,3.0,3.0
424,Ardendale,1100.0,2.0,2.0
425,Ardendale,2500.0,3.0,3.0
426,Ardendale,3200.0,4.0,4.0
427,Ardendale,1777.26,3.0,3.0
428,Ardendale,1750.0,3.0,3.0
429,Ardendale,1777.26,3.0,3.0
430,Ardendale,1777.26,3.0,3.0
431,Ardendale,3198.0,4.0,4.0
432,Ardendale,1224.0,2.0,2.0
433,Ardendale,4355.0,3.0,5.0
434,Ardendale,1650.0,3.0,3.0
435,Ardendale,1100.0,2.0,2.0
436,Ardendale,2062.0,3.0,4.0
437,Ardendale,1224.0,2.0,2.0
438,Arekere,2072.0,3.0,3.0
439,Arekere,1100.0,2.0,2.0
440,Arekere,600.0,1.0,1.0
441,Arekere,2060.0,3.0,3.0
442,Arekere,900.0,2.0,2.0
443,Arekere,2060.0,3.0,3.0
444,Arekere,900.0,2.0,2.0
445,Arekere,2710.0,6.0,4.0
446,Arekere,1740.0,2.0,3.0
447,Arekere,2400.0,3.0,3.0
448,Arekere,1240.0,2.0,2.0
449,Attibele,1500.0,3.0,3.0
450,Attibele,1639.0,2.0,3.0
451,Attibele,656.0,2.0,2.0
452,Attibele,400.0,1.0,1.0
453,Attibele,1600.0,4.0,4.0
454,Attibele,996.0,2.0,2.0
455,Attibele,400.0,1.0,1.0
456,Attibele,1200.0,2.0,2.0
457,Attibele,850.0,1.0,2.0
458,Attibele,3640.0,4.0,4.0
459,Attibele,400.0,1.0,1.0
460,Attibele,1000.0,2.0,2.0
461,Attibele,450.0,1.0,1.0
462,Attibele,1175.0,2.0,2.0
463,Attibele,395.0,1.0,1.0
464,Attibele,410.0,1.0,1.0
465,Attibele,656.0,2.0,2.0
466,Attibele,500.0,1.0,1.0
467,Attibele,1700.0,3.0,3.0
468,Attibele,400.0,1.0,1.0
469,Attibele,420.0,1.0,1.0
470,Attibele,520.0,1.0,1.0
471,Attibele,550.0,1.0,1.0
472,Attibele,460.0,1.0,1.0
473,Attibele,782.0,1.0,1.0
474,Attibele,695.0,1.0,2.0
475,Attibele,2400.0,3.0,3.0
476,Attibele,1174.0,2.0,2.0
477,Attibele,400.0,1.0,1.0
478,Attibele,418.0,2.0,1.0
479,Attibele,656.0,2.0,2.0
480,BEML Layout,999.0,2.0,2.0
481,BEML Layout,2000.0,3.0,3.0
482,BEML Layout,2000.0,3.0,3.0
483,BEML Layout,2000.0,2.0,3.0
484,BEML Layout,2400.0,4.0,5.0
485,BEML Layout,1200.0,2.0,2.0
486,BEML Layout,2400.0,2.0,2.0
487,BEML Layout,1194.0,2.0,2.0
488,BEML Layout,1060.0,2.0,2.0
489,BEML Layout,1194.0,2.0,2.0
490,BTM 2nd Stage,1750.0,3.0,3.0
491,BTM 2nd Stage,2400.0,2.0,3.0
492,BTM 2nd Stage,1260.0,5.0,3.0
493,BTM 2nd Stage,1400.0,2.0,2.0
494,BTM 2nd Stage,1000.0,2.0,2.0
495,BTM 2nd Stage,1200.0,2.0,2.0
496,BTM 2nd Stage,1250.0,3.0,3.0
497,BTM 2nd Stage,1280.0,2.0,2.0
498,BTM 2nd Stage,1265.0,2.0,3.0
499,BTM 2nd Stage,965.0,2.0,2.0
500,BTM 2nd Stage,1070.0,2.0,2.0
501,BTM 2nd Stage,1274.0,2.0,2.0
502,BTM 2nd Stage,950.0,2.0,2.0
503,BTM 2nd Stage,2400.0,3.0,4.0
504,BTM 2nd Stage,1200.0,2.0,2.0
505,BTM 2nd Stage,2500.0,3.0,3.0
506,BTM 2nd Stage,1200.0,2.0,2.0
507,BTM 2nd Stage,930.0,2.0,2.0
508,BTM 2nd Stage,2990.0,5.0,5.0
509,BTM 2nd Stage,2200.0,3.0,3.0
510,BTM 2nd Stage,1850.0,3.0,3.0
511,BTM 2nd Stage,1265.0,2.0,2.0
512,BTM Layout,935.0,2.0,2.0
513,BTM Layout,1196.0,2.0,2.0
514,BTM Layout,1458.0,3.0,3.0
515,BTM Layout,1020.0,2.0,2.0
516,BTM Layout,3000.0,3.0,3.0
517,BTM Layout,1150.0,2.0,2.0
518,BTM Layout,450.0,1.0,1.0
519,BTM Layout,3300.0,6.0,6.0
520,BTM Layout,1540.0,2.0,3.0
521,BTM Layout,1470.0,2.0,3.0
522,BTM Layout,1776.0,2.0,3.0
523,BTM Layout,2400.0,3.0,3.0
524,BTM Layout,1600.0,3.0,3.0
525,Babusapalaya,1050.0,2.0,2.0
526,Babusapalaya,1358.0,2.0,3.0
527,Babusapalaya,1100.0,2.0,2.0
528,Babusapalaya,1245.0,2.0,2.0
529,Babusapalaya,1167.0,2.0,3.0
530,Babusapalaya,1061.0,2.0,2.0
531,Babusapalaya,1675.0,3.0,3.0
532,Babusapalaya,1450.0,2.0,2.0
533,Babusapalaya,1061.0,2.0,2.0
534,Babusapalaya,1141.0,2.0,2.0
535,Babusapalaya,1061.0,2.0,2.0
536,Babusapalaya,1410.0,2.0,3.0
537,Babusapalaya,1500.0,2.0,2.0
538,Babusapalaya,1611.0,2.0,3.0
539,Babusapalaya,1358.0,2.0,3.0
540,Balagere,645.0,1.0,1.0
541,Balagere,1205.0,2.0,2.0
542,Balagere,1210.0,2.0,2.0
543,Balagere,1210.0,2.0,2.0
544,Balagere,1007.0,2.0,2.0
545,Balagere,1012.0,2.0,2.0
546,Balagere,1145.0,2.0,2.0
547,Balagere,1007.0,2.0,2.0
548,Balagere,1007.0,2.0,2.0
549,Balagere,1020.07,2.0,2.0
550,Balagere,1205.47,2.0,2.0
551,Balagere,656.0,1.0,1.0
552,Balagere,1012.0,2.0,2.0
553,Balagere,656.0,1.0,1.0
554,Balagere,1205.0,2.0,2.0
555,Balagere,645.0,1.0,1.0
556,Balagere,661.0,1.0,1.0
557,Balagere,1012.0,2.0,2.0
558,Balagere,790.5,1.0,1.0
559,Balagere,645.0,1.0,1.0
560,Balagere,675.0,1.0,1.0
561,Balagere,1205.0,2.0,2.0
562,Balagere,656.0,1.0,1.0
563,Balagere,1210.0,2.0,2.0
564,Balagere,1205.0,2.0,2.0
565,Balagere,1210.0,2.0,2.0
566,Balagere,645.0,1.0,1.0
567,Balagere,1210.0,2.0,2.0
568,Balagere,1012.0,2.0,2.0
569,Balagere,656.0,1.0,1.0
570,Balagere,1205.0,2.0,2.0
571,Banashankari,1040.0,2.0,2.0
572,Banashankari,1540.0,3.0,3.0
573,Banashankari,1290.0,2.0,2.0
574,Banashankari,1900.0,2.0,3.0
575,Banashankari,1310.0,2.0,2.0
576,Banashankari,1420.0,3.0,3.0
577,Banashankari,1041.0,2.0,2.0
578,Banashankari,1400.0,2.0,3.0
579,Banashankari,1330.0,2.0,2.0
